Life_Time,Age,Is_Retail,Is_CRM_Email,CountDeposit,CountWithdrawal,TotalDeposits,TotalWithdrawal,CountPaymentMethod,DifferentMethodWithdrawals,Multi_Device,IP_Counts,e_11234,e_23456,e_34454,e_43568,e_64645,Target_ml
1,29,0,1,110,5,8854,1900,1,0.0,1,2,1113.44,163.07,113.05,973.39,0.04,0
0,29,0,0,46,1,1320,200,1,0.0,1,1,16362.41,18226.41,26132.06,40377.35,3.32,0
1,29,1,0,61,2,455,120,1,0.0,1,1,7114.99,7016.08,25120.61,40040.2,1.9,0
2,33,1,1,4,1,340,500,1,0.0,1,1,184.72,2040.77,13407.75,7163.1,0.52,0
0,39,0,0,50,3,1830,1243,1,0.0,0,3,5783.57,7063.02,3867.48,984.67,1.21,1
1,23,0,1,54,14,2635,2270,3,2270.0,1,2,774.68,1578.6,21258.17,8631.83,0.94,1
1,32,0,1,2,0,80,0,1,0.0,1,2,607.19,156.22,5437.81,375.12,0.42,0
2,56,1,0,6,0,40,0,1,0.0,1,5,2266.9,695.85,13958.48,3783.39,0.85,0
5,29,0,1,9,0,50,0,1,0.0,1,2,13805.01,11377.24,28962.07,28962.07,2.64,1
10,66,0,1,55,4,635,330,1,0.0,1,1,4841.25,7401.5,28011.27,22007.51,1.98,0
0,52,0,0,7,0,430,0,2,0.0,1,3,4829.06,5170.11,11275.79,10850.53,1.53,0
0,41,0,1,35,8,1696,1471,2,1471.0,1,2,3201.49,4386.02,16339.19,218.06,1.33,1
2,31,0,1,2,0,20,0,1,0.0,1,2,13710.95,16598.36,37663.93,37663.93,3.16,0
0,53,0,0,39,0,630,0,1,0.0,1,2,1020.18,8696.61,21516.94,24494.35,2.37,0
1,34,0,0,133,8,2393,655,4,655.0,1,7,2979.81,923.23,8712.32,335.64,2.9,1
4,28,1,0,15,0,243,0,2,0.0,1,4,3168.64,496.61,2033.91,4966.09,0.25,1
1,56,0,0,10,6,900,1562,1,0.0,1,1,14822.11,12467.15,2664.27,30778.58,2.75,0
7,39,0,1,9,0,45,0,1,0.0,1,3,1539.79,124.31,5756.89,1243.11,0.44,0
1,37,0,1,3,0,500,0,1,0.0,1,5,1530.3,1489.97,7899.74,4959.9,0.24,0
0,35,0,1,254,14,5590,2900,4,2610.0,1,7,7194.24,3608.28,2654.34,5140.27,2.13,1
0,26,0,1,10,3,1310,2142,2,2142.0,0,4,3006.93,6362.12,9810.6,16810.6,1.77,1
0,35,0,0,63,3,7345,6000,3,6000.0,0,3,9268.94,2129.82,470.03,5839.91,1.75,1
5,32,1,1,4,0,20,0,1,0.0,1,2,8916.45,13301.3,1506.52,32168.84,2.83,1
3,58,1,1,89,2,1520,350,1,0.0,0,1,10489.63,15785.58,13927.91,36309.3,3.08,0
3,28,1,1,81,2,3568,1251,1,0.0,1,1,5824.3,16370.5,16852.48,37284.16,3.14,0
5,66,0,1,6,0,90,0,1,0.0,1,3,11612.73,5908.04,16810.28,14540.19,1.68,0
0,18,0,0,27,10,18455,16780,3,16780.0,1,3,5273.64,11970.95,536.06,74.08,0.45,1
2,33,0,0,38,5,3750,3600,4,3600.0,0,5,425.18,2637.79,13559.69,14509.26,0.96,1
2,31,0,0,15,2,150,310,2,0.0,1,5,2822.35,1330.22,6302.22,4320.89,0.17,0
4,25,1,0,1,0,110,0,1,0.0,1,3,8141.41,2962.18,7189.1,189.1,1.09,1
14,72,0,1,11,1,110,160,2,160.0,1,1,12571.41,15055.24,10276.22,35092.07,3.01,0
1,37,0,0,3,0,40,0,1,0.0,1,1,12617.65,11530.42,29217.36,29217.36,2.65,0
1,26,0,0,2,0,64,0,1,0.0,1,2,4758.73,4833.26,8749.44,34583.15,1.47,0
0,55,0,0,11,0,820,0,1,0.0,1,1,51.98,2942.85,22428.52,10771.41,0.97,0
0,24,0,0,196,52,2098,2400,3,2400.0,1,4,8172.28,6750.7,2524.71,5176.03,0.97,1
0,19,0,0,204,0,9395,0,2,0.0,1,3,1454.23,1321.82,6218.2,4287.28,0.16,0
6,25,1,0,5,4,25,40,1,0.0,1,5,2436.15,656.58,434.22,1626.31,0.17,1
0,32,1,1,29,1,3425,2800,1,0.0,1,7,439.36,1014.9,3148.95,10148.95,0.01,0
3,22,0,1,17,1,188,55,1,0.0,1,4,7042.7,2178.97,11157.74,4105.16,0.94,0
2,53,1,1,14,0,250,0,1,0.0,1,1,29027.93,16984.11,38306.85,38306.85,3.2,0
3,33,0,0,135,6,1366,2070,3,2070.0,1,2,134.65,5379.03,1611.93,4487.7,2.44,1
0,28,0,0,14,0,1910,0,1,0.0,0,4,124.22,1731.63,10316.31,17316.31,0.37,0
0,36,1,0,11,0,2250,0,1,0.0,1,1,10034.37,3722.98,422.36,31807.45,1.24,0
2,29,0,0,5,0,45,0,1,0.0,1,1,18597.74,17939.35,24696.77,39898.92,3.29,0
0,49,0,0,214,5,2275,790,3,790.0,1,2,19.7,1756.28,268.74,3669.38,3.11,1
2,31,0,1,18,0,90,0,1,0.0,1,1,29276.5,11388.65,28981.09,28981.09,2.64,0
1,34,0,0,203,8,5010,2700,2,1900.0,1,5,6629.54,6594.31,201.44,179.67,1.61,1
0,28,1,0,29,5,467,760,1,0.0,0,1,586.53,5446.1,13345.76,36115.25,1.59,0
4,24,0,1,58,12,2639,3030,4,3030.0,1,5,2939.82,3280.76,7420.47,7718.22,0.77,1
1,34,0,0,60,3,6410,9503,3,8552.7,1,1,168.11,8938.07,1625.91,3691.92,0.59,1
3,63,0,1,9,3,1000,1900,1,0.0,1,2,1957.47,437.55,2624.48,750.21,0.28,1
0,38,0,1,13,0,1250,0,1,0.0,1,4,9516.34,6959.3,12796.48,19796.48,1.89,0
3,49,0,1,24,0,789,0,1,0.0,1,1,10159.34,2373.88,9695.91,28434.7,0.97,0
2,54,0,1,56,0,1145,0,1,0.0,0,2,1215.1,741.89,418.85,7418.85,0.13,0
2,23,1,1,51,3,2040,420,2,0.0,1,3,7323.84,1061.75,1017.63,1825.98,0.35,0
2,33,0,1,181,56,3921,2715,3,2715.0,1,5,5136.64,7265.33,1547.99,8144.16,1.32,1
0,27,0,0,242,26,4860,4661,4,4661.0,1,2,1334.33,8571.7,119.51,3559.68,1.14,1
0,45,0,0,40,5,1995,750,1,0.0,1,2,57.78,248.51,2553.41,962.52,0.42,0
0,32,0,1,130,11,2500,2824,3,2824.0,1,6,1254.06,9585.73,42.13,13.75,1.51,1
2,37,0,1,2,1,25,64,1,0.0,1,1,7051.47,5371.29,12784.69,35928.23,1.57,0
0,25,1,0,11,2,1220,1100,1,0.0,1,1,17273.18,10709.83,27849.71,27849.71,2.57,0
0,22,0,1,10,0,9100,0,1,0.0,1,1,5798.66,3214.62,3390.34,30536.55,1.14,0
0,23,0,1,24,3,2350,827,1,0.0,1,4,1141.06,4559.34,3403.76,36.62,0.98,0
0,29,0,0,49,6,1870,800,3,800.0,0,3,284.72,4464.31,5825.09,3431.84,2.3,1
0,38,0,1,73,17,9650,12250,3,4042.5,1,1,2824.59,4402.25,8456.89,433.5,0.59,0
1,23,0,0,17,4,15008,7517,3,6765.3,1,1,65.65,1158.22,975.84,111.27,4.1,1
0,45,0,0,24,1,2240,419,1,0.0,1,1,676.62,534.35,1656.45,1137.42,0.23,0
0,34,0,0,62,6,4520,1090,3,1090.0,1,1,12788.83,5682.62,663.63,9309.52,0.58,1
2,29,1,1,3,1,2000,450,1,0.0,1,1,12257.2,11862.27,29770.45,29770.45,2.69,1
4,34,0,1,94,3,1900,1210,2,560.0,1,4,2085.28,1933.09,175.38,7467.43,2.25,1
0,34,0,0,15,0,3175,0,1,0.0,0,6,1220.54,1654.85,9548.46,5619.38,0.33,1
0,39,0,0,24,4,1439,524,1,0.0,1,4,3063.56,7723.52,3710.2,3246.94,0.57,1
0,25,1,1,72,0,998,0,1,0.0,1,6,1214.68,108.68,5913.24,1086.76,0.45,0
2,29,0,1,42,39,5766,6886,4,6886.0,1,1,4580.83,13132.32,7879.68,440.09,1.6,1
5,23,0,1,161,21,1656,1400,3,1400.0,1,4,354.55,6673.57,5669.52,7472.39,1.93,1
1,49,0,1,7,1,70,22,2,22.0,1,2,23749.54,21505.06,42525.3,45841.77,3.65,0
3,45,1,0,4,0,80,0,1,0.0,0,1,503.81,2699.63,7252.79,29249.07,1.04,0
3,51,0,1,29,5,1740,1670,4,1670.0,1,3,1372.83,1446.53,13581.16,7864.37,1.11,1
1,47,1,0,11,1,1100,250,1,0.0,1,1,26931.95,17196.13,38660.21,38660.21,3.22,1
